
Test Phase Duration: 0:27:22 (HH:MM:SS)

Class report: 
              precision    recall  f1-score   support

     alureon     0.3829    0.3549    0.3684      4750
     banjori     0.9896    1.0000    0.9948      4750
       bedep     0.6154    0.6832    0.6475      4750
    ccleaner     0.9998    0.9998    0.9998      4750
      chinad     0.9814    0.9642    0.9727      4750
     corebot     0.9998    0.9933    0.9965      4750
cryptolocker     0.5413    0.4168    0.4710      4750
    dircrypt     0.3490    0.1657    0.2247      4750
        dyre     0.9998    1.0000    0.9999      4750
   fobber_v1     0.8519    0.9629    0.9040      4750
   fobber_v2     0.3968    0.6027    0.4786      4750
    gozi_gpl     0.9672    0.9625    0.9649      4750
 gozi_luther     0.9181    0.9229    0.9205      4750
   gozi_nasa     0.8203    0.8623    0.8408      4750
gozi_rfc4343     0.8214    0.8082    0.8147      4750
   kraken_v1     0.7002    0.8368    0.7624      4750
   kraken_v2     0.6697    0.4432    0.5334      4750
       locky     0.7866    0.5377    0.6387      4750
      matsnu     0.9255    0.9777    0.9509      4750
  murofet_v1     0.9904    0.9806    0.9855      4750
  murofet_v2     0.8553    0.9667    0.9076      4750
  murofet_v3     1.0000    0.9933    0.9966      4750
      necurs     0.8181    0.5604    0.6652      4750
      nymaim     0.9363    0.8728    0.9035      4750
    padcrypt     0.9865    0.9992    0.9928      4750
        pizd     0.9197    0.8175    0.8656      4750
 proslikefan     0.6605    0.5337    0.5904      4750
      pushdo     0.9164    0.9834    0.9487      4750
      pykspa     0.3318    0.3775    0.3532      4750
pykspa_noise     0.2948    0.3063    0.3004      4750
      qadars     0.9394    0.9362    0.9378      4750
      qakbot     0.7973    0.4672    0.5891      4750
       ramdo     0.9808    1.0000    0.9903      4750
      ramnit     0.3296    0.4261    0.3717      4750
  ranbyus_v1     0.6570    0.8617    0.7455      4750
  ranbyus_v2     0.7468    0.7874    0.7666      4750
      rovnix     0.9494    0.9402    0.9448      4750
     shiotob     0.9163    0.8162    0.8634      4750
       simda     0.8790    0.9880    0.9303      4750
      sisron     0.9931    1.0000    0.9965      4750
  suppobox_1     0.8377    0.9531    0.8917      4750
  suppobox_2     0.9328    0.9465    0.9396      4750
  suppobox_3     0.9869    0.9992    0.9930      4750
       symmi     0.9931    0.9998    0.9964      4750
  tempedreve     0.4600    0.3792    0.4157      4750
       tinba     0.5585    0.8128    0.6621      4750
  vawtrak_v1     0.9902    0.9996    0.9949      4750
  vawtrak_v2     0.9312    0.9939    0.9615      4750
  vawtrak_v3     0.9522    0.9846    0.9681      4750
 zeus-newgoz     0.9998    0.9983    0.9991      4750
       legit     0.8038    0.7442    0.7728      4750

    accuracy                         0.8024    242250
   macro avg     0.8051    0.8024    0.7985    242250
weighted avg     0.8051    0.8024    0.7985    242250

F1 Score, Precision and Recall: 
              Macro     Micro
F1 Score   0.798521  0.802361
Precision  0.805124  0.802361
Recall     0.802361  0.802361

Overall accuracy = 0.8023611971104231

Confusion matrix:
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon          1686        0      0         0       0        0   
banjori             0     4750      0         0       0        0   
bedep               0        4   3245         0       0        0   
ccleaner            0        0      0      4749       0        0   
chinad              0        0     14         1    4580        0   
corebot             0        0      0         0       0     4718   
cryptolocker        0        1     96         0       0        0   
dircrypt          272       10   1106         0       0        0   
dyre                0        0      0         0       0        0   
fobber_v1           0        0      0         0       0        0   
fobber_v2        1698        0      0         0       0        0   
gozi_gpl            0        0      0         0       0        0   
gozi_luther         0        8      1         0       0        0   
gozi_nasa           0        5      0         0       0        0   
gozi_rfc4343        0        8      6         0       0        0   
kraken_v1           0        0      0         0       0        0   
kraken_v2         143        0     48         0       0        0   
locky               0        0      0         0       0        0   
matsnu              0        0      0         0       0        0   
murofet_v1          0        0      0         0       0        0   
murofet_v2          0        0      0         0       0        0   
murofet_v3          0        0      0         0       0        0   
necurs              2        0      4         0       0        0   
nymaim              0        0      0         0       0        0   
padcrypt            0        0      0         0       0        0   
pizd                0        0      0         0       0        0   
proslikefan        39        0      0         0       0        0   
pushdo              6        1      0         0       0        0   
pykspa             36        0      0         0       0        0   
pykspa_noise       46        0      0         0       0        0   
qadars              0        0     15         0       0        0   
qakbot             43        1    130         0       0        0   
ramdo               0        0      0         0       0        0   
ramnit            282        5    309         0       0        0   
ranbyus_v1          0        0    118         0       0        0   
ranbyus_v2          0        3     19         0       0        0   
rovnix              0        0      0         0       0        1   
shiotob            21        0    147         0      85        0   
simda               0        0      0         0       0        0   
sisron              0        0      0         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        0   
tempedreve        122        0      0         0       0        0   
tinba               0        3      9         0       0        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2          0        0      0         0       0        0   
vawtrak_v3          0        0      0         0       0        0   
zeus-newgoz         0        0      2         0       1        0   
legit               7        1      4         0       1        0   

              cryptolocker  dircrypt  dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  0         4     0          0       2882         0   
banjori                  0         0     0          0          0         0   
bedep                   53       325     0          0          0         0   
ccleaner                 0         0     0          0          0         0   
chinad                   0         2     0          8          0         0   
corebot                  0         0     0          2          0         0   
cryptolocker          1980        42     0         18          0        12   
dircrypt                58       787     0          0        384         0   
dyre                     0         0  4750          0          0         0   
fobber_v1                1         0     0       4574          0         0   
fobber_v2                0         7     0          0       2863         0   
gozi_gpl                 2         0     0          0          0      4572   
gozi_luther              0         1     0          0          0         0   
gozi_nasa                0         0     0          0          0         0   
gozi_rfc4343             0         1     0          0          0         0   
kraken_v1                0         0     0          0          0         0   
kraken_v2                0       107     0          0        208         0   
locky                  293         0     0          0          0         2   
matsnu                   0         0     0          0          0         0   
murofet_v1               1         0     0          0          0        11   
murofet_v2             111         0     0          0          0         0   
murofet_v3               0         0     0          0          0         0   
necurs                  55        14     0         28          5         0   
nymaim                   0         0     0          0          0        33   
