
Test Phase Duration: 0:05:27 (HH:MM:SS)

Class report: 
              precision    recall  f1-score   support

     alureon     0.2207    0.1505    0.1790       950
     banjori     1.0000    1.0000    1.0000       950
       bedep     0.4466    0.6074    0.5147       950
    ccleaner     0.9937    0.9968    0.9953       950
      chinad     0.9826    0.8326    0.9014       950
     corebot     1.0000    0.9895    0.9947       950
cryptolocker     0.3902    0.3589    0.3739       950
    dircrypt     0.2929    0.1221    0.1724       950
        dyre     1.0000    1.0000    1.0000       950
   fobber_v1     0.7760    0.9811    0.8666       950
   fobber_v2     0.2726    0.7558    0.4007       950
    gozi_gpl     0.9147    0.9600    0.9368       950
 gozi_luther     0.8504    0.8200    0.8349       950
   gozi_nasa     0.6749    0.7189    0.6962       950
gozi_rfc4343     0.6696    0.7232    0.6953       950
   kraken_v1     0.7906    0.6042    0.6850       950
   kraken_v2     0.4603    0.3842    0.4188       950
       locky     0.4034    0.2221    0.2865       950
      matsnu     0.9282    0.9526    0.9403       950
  murofet_v1     0.9857    0.9442    0.9645       950
  murofet_v2     0.8206    0.9147    0.8651       950
  murofet_v3     1.0000    0.9926    0.9963       950
      necurs     0.5200    0.0821    0.1418       950
      nymaim     0.8798    0.8400    0.8595       950
    padcrypt     0.9861    0.9695    0.9777       950
        pizd     0.7048    0.6032    0.6500       950
 proslikefan     0.4080    0.5832    0.4801       950
      pushdo     0.8036    0.8874    0.8434       950
      pykspa     0.2623    0.3253    0.2904       950
pykspa_noise     0.2905    0.2758    0.2829       950
      qadars     0.7386    0.9074    0.8144       950
      qakbot     0.7753    0.3232    0.4562       950
       ramdo     0.9722    0.9926    0.9823       950
      ramnit     0.2294    0.2368    0.2330       950
  ranbyus_v1     0.4443    0.7347    0.5537       950
  ranbyus_v2     0.6457    0.5832    0.6128       950
      rovnix     0.9472    0.7926    0.8630       950
     shiotob     0.6841    0.5789    0.6271       950
       simda     0.7302    0.8547    0.7876       950
      sisron     0.9978    0.9611    0.9791       950
  suppobox_1     0.6562    0.8179    0.7282       950
  suppobox_2     0.8921    0.9137    0.9028       950
  suppobox_3     0.9843    0.9884    0.9863       950
       symmi     0.9948    1.0000    0.9974       950
  tempedreve     0.3853    0.2811    0.3250       950
       tinba     0.3641    0.1663    0.2283       950
  vawtrak_v1     0.9855    1.0000    0.9927       950
  vawtrak_v2     0.8482    0.8411    0.8446       950
  vawtrak_v3     0.7862    0.8747    0.8281       950
 zeus-newgoz     1.0000    1.0000    1.0000       950
       legit     0.6462    0.6537    0.6499       950

    accuracy                         0.7078     48450
   macro avg     0.7144    0.7078    0.6988     48450
weighted avg     0.7144    0.7078    0.6988     48450

F1 Score, Precision and Recall: 
              Macro     Micro
F1 Score   0.698762  0.707843
Precision  0.714438  0.707843
Recall     0.707843  0.707843

Overall accuracy = 0.707843137254902

Confusion matrix:
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon           143        0      0         0       0        0   
banjori             0      950      0         0       0        0   
bedep               0        0    577         0       0        0   
ccleaner            0        0      0       947       0        0   
chinad              0        0      4         1     791        0   
corebot             0        0      0         0       1      940   
cryptolocker        0        0     32         0       0        0   
dircrypt           53        0    274         0       0        0   
dyre                0        0      0         0       0        0   
fobber_v1           0        0      0         0       0        0   
fobber_v2         162        0      0         0       0        0   
gozi_gpl            0        0      0         0       0        0   
gozi_luther         0        0      0         0       0        0   
gozi_nasa           0        0      0         0       0        0   
gozi_rfc4343        0        0      1         0       0        0   
kraken_v1           0        0      0         0       0        0   
kraken_v2          35        0      3         0       0        0   
locky               0        0      0         0       0        0   
matsnu              0        0      0         0       0        0   
murofet_v1          0        0      0         0       0        0   
murofet_v2          0        0      0         0       0        0   
murofet_v3          0        0      0         0       0        0   
necurs              3        0      4         0       0        0   
nymaim              0        0      0         0       0        0   
padcrypt            0        0      7         0       0        0   
pizd                0        0      0         0       0        0   
proslikefan        23        0      0         0       0        0   
pushdo             16        0      0         0       0        0   
pykspa             26        0      0         0       0        0   
pykspa_noise       15        0      0         0       0        0   
qadars              0        0      2         4       0        0   
qakbot              6        0     37         0       0        0   
ramdo               0        0      0         0       0        0   
ramnit             87        0    224         0       0        0   
ranbyus_v1          0        0     25         0       0        0   
ranbyus_v2          0        0     80         0       0        0   
rovnix              0        0      0         0       1        0   
shiotob             2        0     20         1      12        0   
simda              37        0      0         0       0        0   
sisron              0        0      0         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        0   
tempedreve         23        0      0         0       0        0   
tinba              11        0      2         0       0        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2          1        0      0         0       0        0   
vawtrak_v3          1        0      0         0       0        0   
zeus-newgoz         0        0      0         0       0        0   
legit               4        0      0         0       0        0   

              cryptolocker  dircrypt  dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  0         0     0          0        743         0   
banjori                  0         0     0          0          0         0   
bedep                    0        94     0          0         31         0   
ccleaner                 0         0     0          0          0         0   
chinad                   6         0     0          2          0         0   
corebot                  0         0     0          0          0         0   
cryptolocker           341        14     0         29          8         3   
dircrypt                 0       116     0          0        226         0   
dyre                     0         0   950          0          0         0   
fobber_v1                1         0     0        932          0         0   
fobber_v2                0         1     0          0        718         0   
gozi_gpl                 0         0     0          0          0       912   
gozi_luther              0         1     0          0          0         0   
gozi_nasa                0         2     0          0          0         0   
gozi_rfc4343             0         3     0          0          0         0   
kraken_v1                0         5     0          0          0         0   
kraken_v2               12         5     0          0        153         0   
locky                  119         0     0          0          0         0   
matsnu                   0         0     0          0          0         0   
murofet_v1               0         0     0          0          0         0   
murofet_v2              77         0     0          0          0         0   
murofet_v3               0         0     0          0          0         0   
