
Test Phase Duration: 0:05:44 (HH:MM:SS)

Class report: 
              precision    recall  f1-score   support

     alureon     0.2646    0.5547    0.3583       950
     banjori     1.0000    1.0000    1.0000       950
       bedep     0.6571    0.5568    0.6028       950
    ccleaner     0.9979    1.0000    0.9989       950
      chinad     0.9436    0.8274    0.8817       950
     corebot     1.0000    0.9947    0.9974       950
cryptolocker     0.4775    0.1674    0.2479       950
    dircrypt     0.2637    0.3547    0.3025       950
        dyre     0.9989    0.9968    0.9979       950
   fobber_v1     0.7783    0.9200    0.8432       950
   fobber_v2     0.2737    0.2821    0.2779       950
    gozi_gpl     0.9258    0.9589    0.9421       950
 gozi_luther     0.9118    0.8274    0.8675       950
   gozi_nasa     0.7553    0.6695    0.7098       950
gozi_rfc4343     0.6435    0.7905    0.7095       950
   kraken_v1     0.9261    0.5274    0.6720       950
   kraken_v2     0.4448    0.4284    0.4365       950
       locky     0.4950    0.2600    0.3409       950
      matsnu     0.9302    0.9537    0.9418       950
  murofet_v1     0.9831    0.9800    0.9815       950
  murofet_v2     0.7912    0.9811    0.8759       950
  murofet_v3     1.0000    0.9905    0.9952       950
      necurs     0.4041    0.2305    0.2936       950
      nymaim     0.8996    0.8674    0.8832       950
    padcrypt     0.9883    0.9811    0.9847       950
        pizd     0.6342    0.7263    0.6771       950
 proslikefan     0.4315    0.5537    0.4850       950
      pushdo     0.7953    0.9242    0.8549       950
      pykspa     0.2778    0.2547    0.2658       950
pykspa_noise     0.2584    0.1295    0.1725       950
      qadars     0.8775    0.7537    0.8109       950
      qakbot     0.7950    0.3021    0.4378       950
       ramdo     0.9508    0.9968    0.9733       950
      ramnit     0.2206    0.2116    0.2160       950
  ranbyus_v1     0.3807    0.7495    0.5050       950
  ranbyus_v2     0.5461    0.6674    0.6007       950
      rovnix     0.9224    0.8632    0.8918       950
     shiotob     0.7105    0.7621    0.7354       950
       simda     0.7451    0.8432    0.7911       950
      sisron     0.9989    0.9916    0.9952       950
  suppobox_1     0.7093    0.6653    0.6866       950
  suppobox_2     0.8920    0.9042    0.8981       950
  suppobox_3     0.9673    0.9968    0.9819       950
       symmi     0.9927    0.9979    0.9953       950
  tempedreve     0.3692    0.4947    0.4229       950
       tinba     0.4142    0.1347    0.2033       950
  vawtrak_v1     0.9865    1.0000    0.9932       950
  vawtrak_v2     0.8734    0.8063    0.8385       950
  vawtrak_v3     0.7015    0.9547    0.8087       950
 zeus-newgoz     0.9968    0.9937    0.9953       950
       legit     0.7660    0.6547    0.7060       950

    accuracy                         0.7144     48450
   macro avg     0.7249    0.7144    0.7075     48450
weighted avg     0.7249    0.7144    0.7075     48450

F1 Score, Precision and Recall: 
              Macro     Micro
F1 Score   0.707549  0.714386
Precision  0.724863  0.714386
Recall     0.714386  0.714386

Overall accuracy = 0.7143859649122807

Confusion matrix:
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon           527        0      0         0       0        0   
banjori             0      950      0         0       0        0   
bedep              12        0    529         0       0        0   
ccleaner            0        0      0       950       0        0   
chinad              0        0      5         1     786        0   
corebot             0        0      0         0       0      945   
cryptolocker        2        0     16         0       0        0   
dircrypt          184        0    126         0       0        0   
dyre                0        0      0         0       0        0   
fobber_v1           0        0      0         0       0        0   
fobber_v2         553        0      0         0       0        0   
gozi_gpl            0        0      0         0       0        0   
gozi_luther         0        0      0         0       0        0   
gozi_nasa           0        0      0         0       0        0   
gozi_rfc4343        0        0      1         0       0        0   
kraken_v1           0        0      0         0       0        0   
kraken_v2         127        0      2         0       0        0   
locky               0        0      0         0       0        0   
matsnu              0        0      0         0       0        0   
murofet_v1          0        0      0         0       0        0   
murofet_v2          0        0      0         0       0        0   
murofet_v3          0        0      0         0       0        0   
necurs              1        0      0         0       0        0   
nymaim              0        0      0         0       0        0   
padcrypt            0        0      1         0       0        0   
pizd                0        0      0         0       0        0   
proslikefan        61        0      0         0       0        0   
pushdo              9        0      0         0       0        0   
pykspa             36        0      0         0       0        0   
pykspa_noise       37        0      0         0       0        0   
qadars              3        0      4         1       0        0   
qakbot             18        0     15         0       0        0   
ramdo               0        0      0         0       0        0   
ramnit            188        0     52         0       0        0   
ranbyus_v1          0        0      6         0       0        0   
ranbyus_v2          0        0     16         0       0        0   
rovnix              0        0      0         0       2        0   
shiotob            18        0     30         0      43        0   
simda              21        0      0         0       0        0   
sisron              0        0      0         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        0   
tempedreve        159        0      0         0       0        0   
tinba              32        0      0         0       0        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2          0        0      0         0       0        0   
vawtrak_v3          0        0      0         0       0        0   
zeus-newgoz         0        0      1         0       2        0   
legit               4        0      1         0       0        0   

              cryptolocker  dircrypt  dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  0         0     0          0        306         0   
banjori                  0         0     0          0          0         0   
bedep                    0       253     0          0          5         0   
ccleaner                 0         0     0          0          0         0   
chinad                   0         1     0          4          0         0   
corebot                  0         0     0          2          0         0   
cryptolocker           159        53     0         30          0         3   
dircrypt                 0       337     0          0         60         0   
dyre                     0         0   947          0          0         0   
fobber_v1                0         0     0        874          0         0   
fobber_v2                0         0     0          0        268         0   
gozi_gpl                 1         0     0          0          0       911   
gozi_luther              0         4     0          0          0         0   
gozi_nasa                0         2     0          0          0         0   
gozi_rfc4343             0         3     0          0          0         0   
kraken_v1                3         0     0          0          0         0   
kraken_v2                2         9     0          0         65         0   
locky                   28         0     0          0          0         0   
matsnu                   0         0     0          0          0         0   
murofet_v1               0         0     0          0          0         1   
murofet_v2               4         0     0          0          0         0   
murofet_v3               0         0     0          0          0         0   
