
Test Phase Duration: 0:57:49 (HH:MM:SS)

Class report: 
              precision    recall  f1-score   support

     alureon     0.2838    0.3011    0.2922       900
     banjori     0.9978    1.0000    0.9989       900
       bedep     0.5732    0.5089    0.5391       900
    ccleaner     0.9923    0.9989    0.9956       900
      chinad     0.8131    0.8844    0.8473       900
     corebot     0.9989    0.9689    0.9836       900
cryptolocker     0.3485    0.4933    0.4085       900
    dircrypt     0.3253    0.2089    0.2544       900
        dyre     0.9967    0.9989    0.9978       900
   fobber_v1     0.7948    0.8089    0.8018       900
   fobber_v2     0.2959    0.3456    0.3188       900
    gozi_gpl     0.8952    0.9489    0.9213       900
 gozi_luther     0.8079    0.8456    0.8263       900
   gozi_nasa     0.6354    0.6989    0.6656       900
gozi_rfc4343     0.7009    0.6222    0.6592       900
   kraken_v1     0.7512    0.7044    0.7271       900
   kraken_v2     0.4060    0.5378    0.4627       900
       locky     0.4389    0.3833    0.4093       900
      matsnu     0.8335    0.9789    0.9004       900
  murofet_v1     0.9704    0.9833    0.9768       900
  murofet_v2     0.7912    0.9389    0.8587       900
  murofet_v3     0.9966    0.9867    0.9916       900
      necurs     0.5211    0.3156    0.3931       900
      nymaim     0.7621    0.8400    0.7992       900
    padcrypt     0.8501    0.9644    0.9037       900
        pizd     0.8106    0.7133    0.7589       900
 proslikefan     0.5591    0.4467    0.4966       900
      pushdo     0.7208    0.9122    0.8053       900
      pykspa     0.2843    0.2967    0.2904       900
pykspa_noise     0.3426    0.1233    0.1814       900
      qadars     0.8479    0.8178    0.8326       900
      qakbot     0.6099    0.3422    0.4384       900
       ramdo     0.9283    0.9922    0.9592       900
      ramnit     0.2232    0.1778    0.1979       900
  ranbyus_v1     0.5725    0.5000    0.5338       900
  ranbyus_v2     0.4917    0.6233    0.5497       900
      rovnix     0.8037    0.8778    0.8391       900
     shiotob     0.7187    0.6244    0.6683       900
       simda     0.7919    0.8500    0.8199       900
      sisron     0.9772    1.0000    0.9885       900
  suppobox_1     0.7777    0.8822    0.8267       900
  suppobox_2     0.8046    0.9744    0.8814       900
  suppobox_3     0.8919    0.9989    0.9423       900
       symmi     0.9698    1.0000    0.9847       900
  tempedreve     0.4120    0.5044    0.4535       900
       tinba     0.4675    0.2078    0.2877       900
  vawtrak_v1     0.9729    0.9989    0.9857       900
  vawtrak_v2     0.8327    0.9400    0.8831       900
  vawtrak_v3     0.8914    0.7933    0.8395       900
 zeus-newgoz     0.9865    0.9744    0.9804       900
       legit     0.5520    0.6433    0.5942       900

    accuracy                         0.7153     45900
   macro avg     0.7063    0.7153    0.7049     45900
weighted avg     0.7063    0.7153    0.7049     45900

F1 Score, Precision and Recall: 
              Macro     Micro
F1 Score   0.704939  0.715338
Precision  0.706310  0.715338
Recall     0.715338  0.715338

Overall accuracy = 0.7153376906318083

Confusion matrix:
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon           271        0      0         0       0        0   
banjori             0      900      0         0       0        0   
bedep              12        0    458         0       1        0   
ccleaner            0        0      0       899       0        0   
chinad              0        0      9         0     796        1   
corebot             0        0      0         0       0      872   
cryptolocker        4        0     20         0       5        0   
dircrypt           66        0    136         0       2        0   
dyre                0        0      0         0       0        0   
fobber_v1           0        0      0         0       2        0   
fobber_v2         273        0      2         0       0        0   
gozi_gpl            0        0      0         0       0        0   
gozi_luther         0        0      0         0       0        0   
gozi_nasa           0        0      0         0       0        0   
gozi_rfc4343        0        0      0         0       0        0   
kraken_v1           0        0      0         0       0        0   
kraken_v2          43        0      2         0       0        0   
locky               0        0      0         0       4        0   
matsnu              0        0      0         0       0        0   
murofet_v1          0        0      0         0       0        0   
murofet_v2          0        0      0         0       4        0   
murofet_v3          0        0      0         0       0        0   
necurs              4        0      0         0       1        0   
nymaim              0        0      0         0       0        0   
padcrypt            0        0      0         0       0        0   
pizd                0        0      0         0       0        0   
proslikefan        11        0      0         0       0        0   
pushdo              0        0      0         0       0        0   
pykspa             24        0      2         0       0        0   
pykspa_noise       31        0      0         0       0        0   
qadars              1        1      3         3      33        0   
qakbot             10        0     16         0       6        0   
ramdo               0        0      0         0       0        0   
ramnit            116        1     71         0       0        0   
ranbyus_v1          0        0     21         0       0        0   
ranbyus_v2          0        0      6         0       1        0   
rovnix              0        0      0         0       0        0   
shiotob             5        0     40         4     108        0   
simda               1        0      0         0       0        0   
sisron              0        0      0         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        0   
tempedreve         58        0      0         0       0        0   
tinba              23        0     12         0       1        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2          0        0      0         0       0        0   
vawtrak_v3          1        0      0         0       0        0   
zeus-newgoz         0        0      1         0      15        0   
legit               1        0      0         0       0        0   

              cryptolocker  dircrypt  dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  0        38     0          0        306         0   
banjori                  0         0     0          0          0         0   
bedep                   55        85     0          0          8         0   
ccleaner                 0         0     0          0          0         0   
chinad                   5         0     0          3          0         0   
corebot                  0         0     0          0          0         0   
cryptolocker           444         7     0         20          0        11   
dircrypt                49       188     0          0        104         0   
dyre                     0         0   899          0          0         0   
fobber_v1               16         0     0        728          0         0   
fobber_v2                0        21     0          0        311         0   
gozi_gpl                 0         0     0          0          0       854   
gozi_luther              0         0     0          0          0         0   
gozi_nasa                0         1     0          0          0         0   
gozi_rfc4343             0         2     0          0          0         1   
kraken_v1                4         0     0          0          0         0   
kraken_v2               10        11     0          0         63         0   
locky                   88         0     0          0          0        12   
matsnu                   0         0     0          0          0         0   
murofet_v1               2         0     0          0          0         6   
murofet_v2              31         0     0          0          0         0   
murofet_v3               0         0     0          0          0         0   
necurs                  33         5     0         11          4         2   
nymaim                   0         0     0          0          0        12   
padcrypt                 1         0     0          0          0         0   
pizd                     0         0     0          0          0         0   
proslikefan              4         6     0          0         24        12   
pushdo                   0         0     0          0          1         0   
pykspa                  59         3     0          1         12         0   
pykspa_noise            45         8     0          0         17         0   
qadars                   4         0     0          0          1         0   
qakbot                  98        31     0         41         11         0   
ramdo                    0         0     0          0          0         0   
ramnit                  53       114     0          0         96         0   
ranbyus_v1             128         4     0         15          0         0   
ranbyus_v2               6        35     0         91          0         0   
rovnix                   0         0     0          0          0        30   
shiotob                 15         2     0          6          7         0   
simda                    0         1     0          0          1         0   
sisron                   0         0     0          0          0         0   
suppobox_1               0         0     0          0          0         0   
suppobox_2               0         0     0          0          0         0   
suppobox_3               0         0     0          0          0         0   
symmi                    0         0     0          0          0         0   
tempedreve               5         3     0          0         63         0   
tinba                  119        11     0          0         20         2   
vawtrak_v1               0         0     0          0          0         0   
vawtrak_v2               0         0     0          0          0         0   
vawtrak_v3               0         0     0          0          1         0   
zeus-newgoz              0         0     1          0          0         0   
legit                    0         2     2          0          1        12   

              gozi_luther  gozi_nasa  gozi_rfc4343  kraken_v1  kraken_v2  \
alureon                 0          0             1          1        107   
banjori                 0          0             0          0          0   
bedep                   1          7             8          2         19   
ccleaner                0          0             0          0          0   
chinad                  0          0             1          1          0   
corebot                 0          0             0          0          0   
cryptolocker            2          3             0          2          6   
dircrypt                8         16             3          4         52   
dyre                    0          0             0          0          0   
fobber_v1               0          0             0          0          0   
fobber_v2               0          0             2          7        110   
gozi_gpl                0          0             0          0          0   
gozi_luther           761         70            37          0          0   
gozi_nasa              65        629           103          0          0   
gozi_rfc4343           56        174           560          0          0   
kraken_v1               0          0             0        634        253   
kraken_v2               0          0             0        164        484   
locky                   0          0             0          3          3   
matsnu                  3          4             5          0          0   
murofet_v1              0          0             0          0          0   
murofet_v2              0          0             0          0          0   
murofet_v3              0          0             0          0          0   
necurs                  0          2             0          1         16   
nymaim                  2          1             1          0          0   
padcrypt                2          5             9          0          0   
pizd                    0          0             0          0          0   
proslikefan             0          0             0          1         23   
pushdo                 16         11             4          0          0   
pykspa                  0          0             0          4         11   
pykspa_noise            0          1             0          3         15   
qadars                  0          1             0          0          1   
qakbot                  1          0             1          3          8   
ramdo                   0          0             0          0          0   
ramnit                  4         15            11          2         27   
ranbyus_v1              0          2             1          2          6   
ranbyus_v2              2          0             5          1          0   
rovnix                  8         29            24          0          0   
shiotob                 0          1             1          1          3   
simda                   0          0             0          0          3   
sisron                  0          0             0          0          0   
suppobox_1              0          0             0          0          0   
suppobox_2              0          0             0          0          0   
suppobox_3              0          0             0          0          0   
symmi                   0          0             0          0          0   
tempedreve              0          0             0          0         20   
tinba                   1          3             4          7         14   
vawtrak_v1              0          0             0          0          0   
vawtrak_v2              1          0             0          0          0   
vawtrak_v3              1          4             9          0          2   
zeus-newgoz             0          0             0          0          0   
legit                   8         12             9          1          9   

              locky  matsnu  murofet_v1  murofet_v2  murofet_v3  necurs  \
alureon           0       1           0           0           0       0   
banjori           0       0           0           0           0       0   
bedep             0       2           0           0           0       2   
ccleaner          0       0           0           0           0       0   
chinad            1       0           0           5           0       0   
corebot           0       0           0           0           0       0   
cryptolocker     71       0           0          74           0       6   
dircrypt          0       2           0           0           0       0   
dyre              0       0           0           0           0       0   
fobber_v1         2       0           0           1           0       7   
fobber_v2         0       3           0           0           0       1   
gozi_gpl          0       0           0           0           0       0   
gozi_luther       0       2           0           0           0       0   
gozi_nasa         0      29           0           0           0       0   
gozi_rfc4343      0      35           0           0           0       0   
kraken_v1         0       0           0           0           0       0   
kraken_v2         5       0           0           0           0       3   
locky           345       0           0          38           0      80   
matsnu            0     881           0           0           0       0   
murofet_v1        4       0         885           0           0       1   
murofet_v2       14       0           0         845           0       0   
murofet_v3        0       0          12           0         888       0   
necurs           57       0           6           9           0     284   
nymaim            3      27           0           0           0       0   
padcrypt          0       0           0           0           0       0   
pizd              0       0           0           0           0       0   
proslikefan      19       0           3           6           0      25   
pushdo            0       0           0           0           0       0   
pykspa            2       0           0           0           0       1   
pykspa_noise      1       2           0           0           0       1   
qadars            0       0           0           0           0       0   
qakbot           13       0           4          63           0      15   
ramdo             0       0           0           0           0       0   
ramnit            0       1           0           0           0       1   
ranbyus_v1       71       0           0           0           0      56   
ranbyus_v2       50       0           0           0           0      30   
rovnix            0       3           0           0           0       0   
shiotob           0       0           0           0           0       2   
simda             1       0           0           0           0       5   
sisron            0       0           0           0           0       0   
suppobox_1        0       0           0           0           0       0   
suppobox_2        0       0           0           0           0       0   
suppobox_3        0       0           0           0           0       0   
symmi             0       0           0           0           0       0   
tempedreve        0       1           0           0           0       2   
tinba           124       6           0          27           0      21   
vawtrak_v1        0       0           0           0           0       0   
vawtrak_v2        0       0           0           0           0       0   
vawtrak_v3        0       2           0           0           0       0   
zeus-newgoz       0       0           0           0           2       0   
legit             3      60           2           0           1       2   

              nymaim  padcrypt  pizd  proslikefan  pushdo  pykspa  \
alureon            0         2     0            1      32       9   
banjori            0         0     0            0       0       0   
bedep              1         7     1            0      19       0   
ccleaner           0         1     0            0       0       0   
chinad             0         4     0            0       0       0   
corebot            0         0     0            0       0       0   
cryptolocker       6        12     7            1       5       4   
dircrypt           0         6     0            5      28       1   
dyre               0         0     0            0       0       0   
fobber_v1          0        17     2            0       1       1   
fobber_v2          0         3     0            2      35       7   
gozi_gpl           6         0     0            0       0       0   
gozi_luther       12         0     0            0       2       0   
gozi_nasa         10         0     0            0       2       0   
gozi_rfc4343       8         3     0            0       1       0   
kraken_v1          0         3     0            0       0       0   
kraken_v2          2         3     0           24       9       9   
locky             15         6     0           71       7      33   
matsnu             2         1     0            0       0       0   
murofet_v1         0         0     0            0       0       0   
murofet_v2         3         0     0            0       0       0   
murofet_v3         0         0     0            0       0       0   
necurs            15        10     3           71      16       9   
nymaim           756         2     4            1       5       0   
padcrypt           3       868     0            0       0       0   
pizd               2         0   642            0       0       0   
proslikefan        6         0     0          402       3     118   
pushdo             8         2     0            0     821       0   
pykspa             4         2     3           43       3     267   
pykspa_noise       3         2     6           43      11     260   
qadars             0         0     3            0       0       6   
qakbot             7         6     2           31       5      48   
ramdo              1         3     0            0       1       0   
ramnit             1         8     0            6      33       6   
ranbyus_v1        25        11     2            0       7       0   
ranbyus_v2        15        20     1            0       1       0   
rovnix             5         0     2            0       0       0   
shiotob            0         3     2            1       1      14   
simda             27         0     0            1      18       9   
sisron             0         0     0            0       0       0   
suppobox_1         1         0    87            0       0       0   
suppobox_2         0         0     8            0       0       0   
suppobox_3         0         0     0            0       0       0   
symmi              0         0     0            0       0       0   
tempedreve        10         0     7            5      25     127   
tinba              6        15     7            2      15       5   
vawtrak_v1         1         0     0            0       0       0   
vawtrak_v2         0         0     0            0       0       0   
vawtrak_v3         0         0     0            0      21       2   
zeus-newgoz        0         0     0            0       0       0   
legit             31         1     3            9      12       4   

              pykspa_noise  qadars  qakbot  ramdo  ramnit  ranbyus_v1  \
alureon                  0       0       0      0      42           1   
banjori                  0       0       0      0       0           0   
bedep                    0       2       0      2      91           3   
ccleaner                 0       0       0      0       0           0   
chinad                   0      31      10      1       1           1   
corebot                  0       1       0      0       0           0   
cryptolocker             4       3      40      4      40          23   
dircrypt                 0       0       4      1     100           6   
dyre                     0       0       0      0       0           0   
fobber_v1                0       1      41      6       0          11   
fobber_v2                0       0       0      0      41           0   
gozi_gpl                 0       0       0      0       0           0   
gozi_luther              0       0       0      0       0           0   
gozi_nasa                0       0       0      0       1           0   
gozi_rfc4343             0       0       0      0       1           0   
kraken_v1                0       0       0      1       0           0   
kraken_v2                0       0       0      4      14           4   
locky                    5       1      21      3       0          41   
matsnu                   0       0       0      0       0           0   
murofet_v1               0       0       0      0       0           0   
murofet_v2               0       0       1      0       0           0   
murofet_v3               0       0       0      0       0           0   
necurs                   0       0      11      2       3          91   
nymaim                   0       0       0      0       0           0   
padcrypt                 0       0       0      0       1           2   
pizd                     0       0       0      0       0           0   
proslikefan             38       0       6      0       3           3   
pushdo                   0       0       0      0       1           0   
pykspa                  95       1      16     13       2           4   
pykspa_noise           111       2      19     16       5           4   
qadars                   0     736       1      3       3           1   
qakbot                  14       1     308      8      13           7   
ramdo                    0       2       0    893       0           0   
ramnit                   0       0       0      1     160           7   
ranbyus_v1               0       2      13      1      25         450   
ranbyus_v2               0       0       1      1      16          50   
rovnix                   0       0       0      0       0           0   
shiotob                  3      73       1      0       7           4   
simda                    1       0       0      0       0           0   
sisron                   0       0       0      0       0           0   
suppobox_1               0       0       0      0       0           0   
suppobox_2               0       0       0      0       0           0   
suppobox_3               0       0       0      0       0           0   
symmi                    0       0       0      0       0           0   
tempedreve              44       3       0      0      17           0   
tinba                    5       0       9      0     128          72   
vawtrak_v1               0       0       0      0       0           0   
vawtrak_v2               0       0       0      0       0           0   
vawtrak_v3               0       0       0      0       0           0   
zeus-newgoz              0       1       3      0       0           0   
legit                    4       8       0      2       2           1   

              ranbyus_v2  rovnix  shiotob  simda  sisron  suppobox_1  \
alureon                0       0       18      0       0           0   
banjori                0       0        0      0       0           0   
bedep                 78       0       24      0       1           0   
ccleaner               0       0        0      0       0           0   
chinad                 0       0       22      0       1           0   
corebot                0       0        1      0       0           0   
cryptolocker          11       1        4      0       0           3   
dircrypt              70       0        2      2       0           0   
