
Test Phase Duration: 0:57:15 (HH:MM:SS)

Class report: 
              precision    recall  f1-score   support

     alureon     0.2902    0.3067    0.2982       900
     banjori     0.9989    1.0000    0.9994       900
       bedep     0.5212    0.5189    0.5200       900
    ccleaner     0.9901    0.9978    0.9939       900
      chinad     0.8718    0.8611    0.8664       900
     corebot     0.9989    0.9889    0.9939       900
cryptolocker     0.3922    0.3700    0.3808       900
    dircrypt     0.2664    0.3744    0.3113       900
        dyre     0.9956    0.9978    0.9967       900
   fobber_v1     0.7418    0.9511    0.8335       900
   fobber_v2     0.3040    0.4067    0.3479       900
    gozi_gpl     0.8713    0.9856    0.9249       900
 gozi_luther     0.7536    0.8700    0.8076       900
   gozi_nasa     0.6096    0.7878    0.6873       900
gozi_rfc4343     0.8022    0.4956    0.6126       900
   kraken_v1     0.8362    0.5956    0.6957       900
   kraken_v2     0.4648    0.5800    0.5161       900
       locky     0.4858    0.3600    0.4135       900
      matsnu     0.9036    0.9478    0.9252       900
  murofet_v1     0.9559    0.9867    0.9710       900
  murofet_v2     0.7786    0.9689    0.8634       900
  murofet_v3     0.9978    0.9933    0.9955       900
      necurs     0.6041    0.2644    0.3679       900
      nymaim     0.8919    0.8522    0.8716       900
    padcrypt     0.9521    0.9711    0.9615       900
        pizd     0.7584    0.7289    0.7433       900
 proslikefan     0.5903    0.4211    0.4916       900
      pushdo     0.8451    0.9333    0.8870       900
      pykspa     0.2670    0.3233    0.2925       900
pykspa_noise     0.2281    0.1678    0.1933       900
      qadars     0.8524    0.8022    0.8266       900
      qakbot     0.5509    0.3667    0.4403       900
       ramdo     0.8106    0.9889    0.8909       900
      ramnit     0.2385    0.2300    0.2342       900
  ranbyus_v1     0.6084    0.6144    0.6114       900
  ranbyus_v2     0.6719    0.6189    0.6443       900
      rovnix     0.9607    0.8144    0.8815       900
     shiotob     0.7514    0.6044    0.6700       900
       simda     0.7635    0.9400    0.8426       900
      sisron     0.9825    1.0000    0.9912       900
  suppobox_1     0.7497    0.8222    0.7843       900
  suppobox_2     0.8292    0.9222    0.8732       900
  suppobox_3     0.9478    0.9889    0.9679       900
       symmi     0.9847    1.0000    0.9923       900
  tempedreve     0.4909    0.3578    0.4139       900
       tinba     0.4589    0.4278    0.4428       900
  vawtrak_v1     0.9574    1.0000    0.9783       900
  vawtrak_v2     0.9379    0.8900    0.9133       900
  vawtrak_v3     0.8250    0.9322    0.8753       900
 zeus-newgoz     0.9899    0.9767    0.9832       900
       legit     0.6465    0.6278    0.6370       900

    accuracy                         0.7242     45900
   macro avg     0.7250    0.7242    0.7188     45900
weighted avg     0.7250    0.7242    0.7188     45900

F1 Score, Precision and Recall: 
              Macro     Micro
F1 Score   0.718785  0.724161
Precision  0.725015  0.724161
Recall     0.724161  0.724161

Overall accuracy = 0.724161220043573

Confusion matrix:
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon           276        0      4         0       0        0   
banjori             0      900      0         0       0        0   
bedep               0        1    467         0       0        0   
ccleaner            0        0      0       898       0        0   
chinad              0        0     11         0     775        0   
corebot             0        0      0         0       0      890   
cryptolocker        0        0     23         0       1        0   
dircrypt           90        0    122         0       0        0   
dyre                0        0      0         0       0        0   
fobber_v1           0        0      0         0       0        0   
fobber_v2         262        0      0         0       0        0   
gozi_gpl            0        0      0         0       0        0   
gozi_luther         0        0      0         0       0        0   
gozi_nasa           0        0      0         0       0        0   
gozi_rfc4343        0        0      0         0       0        0   
kraken_v1           0        0      3         0       1        0   
kraken_v2          62        0     11         0       0        0   
locky               0        0      0         0       0        0   
matsnu              0        0      0         0       0        0   
murofet_v1          0        0      0         0       0        0   
murofet_v2          0        0      0         0       0        0   
murofet_v3          0        0      0         0       0        0   
necurs              4        0      3         0       2        0   
nymaim              0        0      0         0       0        0   
padcrypt            0        0      0         0       0        0   
pizd                0        0      0         0       0        0   
proslikefan        22        0      0         0       0        0   
pushdo              0        0      3         0       0        0   
pykspa             12        0      1         0       0        0   
pykspa_noise       15        0      3         0       0        0   
qadars              0        0      5         2      19        0   
qakbot              8        0     16         0       1        0   
ramdo               0        0      0         0       0        0   
ramnit            100        0     90         0       0        0   
ranbyus_v1          0        0     28         0       0        0   
ranbyus_v2          0        0     21         0       2        0   
rovnix              0        0      0         0       1        0   
shiotob             5        0     70         2      77        0   
simda               0        0      0         0       0        0   
sisron              0        0      0         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        0   
tempedreve         80        0      1         0       0        0   
tinba              11        0     13         0       0        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2          1        0      0         0       0        0   
vawtrak_v3          0        0      0         0       0        0   
zeus-newgoz         0        0      1         0       9        1   
legit               3        0      0         5       1        0   

              cryptolocker  dircrypt  dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  0        56     0          0        363         0   
banjori                  0         0     0          0          0         0   
bedep                    4       247     0          0          1         0   
ccleaner                 0         0     1          0          0         0   
chinad                   3         0     1          8          0         0   
corebot                  0         0     0          1          0         0   
cryptolocker           333        46     0         45          2         5   
dircrypt                 3       337     0          0         89         0   
dyre                     0         0   898          0          0         0   
fobber_v1                1         0     0        856          0         0   
fobber_v2                0        82     0          0        366         0   
gozi_gpl                 0         0     0          0          0       887   
gozi_luther              0         1     0          0          0         1   
gozi_nasa                0         2     0          0          0         0   
gozi_rfc4343             1         4     0          0          0         2   
kraken_v1                6         1     0          0          0         0   
kraken_v2                5        36     0          0         55         0   
locky                   72         0     0          0          0         7   
matsnu                   0         0     0          0          0         0   
murofet_v1               0         0     0          0          0         4   
murofet_v2              20         0     0          0          0         1   
murofet_v3               0         0     0          0          0         0   
